Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Unique Enum,Stage,Series,winner,rounds,Id
Lakia,Gekko,"0.49
0.40
0.58","89
84
94","7
3
4","

18
9
9

","4
2
2","-11
-6
-5","73
82
65","19%
21%
15%","1
0
1","2
1
1","-1
-1
0",Gen.G,Icebox,1,2967451,Group Stage,Opening (C),Gen.G,"0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1",2
xffero,Viper,"1.21
1.39
1.03","269
342
198","22
14
8","

17
8
9

","12
6
6","+5
+6
-1","176
233
119","28%
31%
21%","1
1
0","2
1
1","-1
0
-1",Rex Regum Qeon,Icebox,1,2967451,Group Stage,Opening (C),Gen.G,"1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0",2
Jemkin,Jett,"1.04
0.78
1.29","195
162
230","19
7
12","

16
9
7

","0
0
0","+3
-2
+5","118
112
123","28%
41%
19%","3
1
2","4
2
2","-1
-1
0",Rex Regum Qeon,Icebox,1,2967451,Group Stage,Opening (C),Gen.G,"1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0",2
fl1pzjder,Gekko,"0.89
1.06
0.72","169
212
127","13
9
4","

17
9
8

","7
3
4","-4
0
-4","109
119
100","38%
44%
33%","2
2
0","4
2
2","-2
0
-2",Rex Regum Qeon,Icebox,1,2967451,Group Stage,Opening (C),Gen.G,"1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0",2
Lmemore,Killjoy,"0.86
0.57
1.16","219
165
274","18
7
11","

20
10
10

","2
1
1","-2
-3
+1","148
123
173","38%
40%
36%","2
0
2","4
1
3","-2
-1
-1",Rex Regum Qeon,Icebox,1,2967451,Group Stage,Opening (C),Gen.G,"1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0",2
Estrella,Sova,"0.82
0.65
0.99","115
91
141","10
4
6","

17
9
8

","5
3
2","-7
-5
-2","71
62
80","28%
33%
25%","1
1
0","1
1
0","0
0
0",Rex Regum Qeon,Icebox,1,2967451,Group Stage,Opening (C),Gen.G,"1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0",2
Meteor,Jett,"1.17
0.77
1.57","257
240
275","24
10
14","

17
12
5

","3
1
2","+7
-2
+9","146
133
159","20%
32%
0%","7
4
3","3
3
0","+4
+1
+3",Gen.G,Split,2,2967452,Group Stage,Opening (C),Gen.G,"0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0",2
Karon,Astra,"1.11
1.10
1.13","223
292
155","19
12
7","

17
11
6

","9
3
6","+2
+1
+1","131
167
95","46%
60%
29%","3
1
2","1
0
1","+2
+1
+1",Gen.G,Split,2,2967452,Group Stage,Opening (C),Gen.G,"0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0",2
Lakia,Skye,"1.08
0.63
1.53","180
118
243","14
4
10","

16
10
6

","15
8
7","-2
-6
+4","128
82
175","29%
36%
26%","2
0
2","2
1
1","0
-1
+1",Gen.G,Split,2,2967452,Group Stage,Opening (C),Gen.G,"0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0",2
Munchkin,Viper,"1.01
0.55
1.46","205
164
247","16
6
10","

18
12
6

","13
3
10","-2
-6
+4","139
117
161","12%
17%
6%","1
0
1","0
0
0","+1
0
+1",Gen.G,Split,2,2967452,Group Stage,Opening (C),Gen.G,"0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0",2
t3xture,Raze,"0.83
0.44
1.23","202
135
271","16
4
12","

18
11
7

","3
0
3","-2
-7
+5","140
99
182","22%
29%
19%","2
1
1","3
2
1","-1
-1
0",Gen.G,Split,2,2967452,Group Stage,Opening (C),Gen.G,"0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0",2
fl1pzjder,Viper,"1.20
1.35
1.06","204
302
106","18
12
6","

15
9
6

","8
2
6","+3
+3
0","133
199
68","33%
45%
22%","1
1
0","1
0
1","0
+1
-1",Rex Regum Qeon,Split,2,2967452,Group Stage,Opening (C),Gen.G,"1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1",2
Lmemore,Cypher,"1.14
0.43
1.85","205
67
344","20
3
17","

15
10
5

","2
0
2","+5
-7
+12","132
40
224","33%
40%
33%","4
1
3","5
5
0","-1
-4
+3",Rex Regum Qeon,Split,2,2967452,Group Stage,Opening (C),Gen.G,"1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1",2
Estrella,Skye,"1.08
0.66
1.50","207
141
273","18
6
12","

16
10
6

","9
1
8","+2
-4
+6","149
105
194","33%
29%
35%","0
0
0","3
1
2","-3
-1
-2",Rex Regum Qeon,Split,2,2967452,Group Stage,Opening (C),Gen.G,"1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1",2
xffero,Astra,"0.83
0.58
1.08","207
178
237","15
5
10","

21
12
9

","8
3
5","-6
-7
+1","133
131
134","20%
17%
22%","3
1
2","1
0
1","+2
+1
+1",Rex Regum Qeon,Split,2,2967452,Group Stage,Opening (C),Gen.G,"1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1",2
Jemkin,Raze,"0.64
0.23
1.05","191
114
269","15
4
11","

22
12
10

","5
2
3","-7
-8
+1","127
71
183","37%
54%
30%","1
0
1","5
3
2","-4
-3
-1",Rex Regum Qeon,Split,2,2967452,Group Stage,Opening (C),Gen.G,"1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1",2
t3xture,Raze,"1.57
1.07
1.94","357
228
455","27
6
21","

15
7
8

","6
4
2","+12
-1
+13","235
169
284","21%
21%
22%","7
2
5","2
2
0","+5
0
+5",Gen.G,Sunset,3,2967453,Group Stage,Opening (C),Gen.G,"0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1",2
Lakia,Skye,"1.28
0.91
1.56","240
171
292","17
4
13","

15
7
8

","13
5
8","+2
-3
+5","159
107
197","30%
40%
27%","2
1
1","1
1
0","+1
0
+1",Gen.G,Sunset,3,2967453,Group Stage,Opening (C),Gen.G,"0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1",2
Munchkin,Viper,"1.07
1.44
0.80","181
251
129","14
9
5","

13
5
8

","9
3
6","+1
+4
-3","119
147
98","11%
8%
14%","1
1
0","3
1
2","-2
0
-2",Gen.G,Sunset,3,2967453,Group Stage,Opening (C),Gen.G,"0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1",2
Meteor,Cypher,"0.83
0.82
0.84","226
200
246","19
7
12","

17
7
10

","3
1
2","+2
0
+2","149
147
151","41%
38%
44%","3
1
2","0
0
0","+3
+1
+2",Gen.G,Sunset,3,2967453,Group Stage,Opening (C),Gen.G,"0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1",2
