Region,Team Name,std_d_per_team_atk,std_fk_per_team,avrg_fk_per_team_atk,std_fk_per_team_atk,avrg_fk_per_team_dfs,2k_std,4k_mean,1v3_std,econ_std,pl_mean,ratio_$_won,ratio_Eco,ratio_$,ratio_$$$,Bank,bans_breeze_mean,picks_lotus_mean,picks_sunset_mean,decider_bind_mean,decider_lotus_mean
Americas,C9,0.11536510252780485,0.9116316022519995,0.6315789473684212,0.4592131882095092,0.4999999999999998,0.4851821286291913,0.42730190704370064,0.4334488022208916,0.0,0.5116279069767442,0.0,0.0,0.24050632911392406,0.24137931034482785,0.4147898745133989,1.0,0.0,0.5555555555555556,0.0,1.0
Americas,SEN,0.5722057265304099,0.6593460679593575,0.3508771929824561,0.5975884882796705,0.7307692307692306,0.360697230359346,0.32597260569373365,0.36685467247230746,0.44161932835751805,0.35215946843853807,0.46,0.5961538461538458,0.0,0.6137931034482764,0.9999999999999998,0.2857142857142857,0.0,0.47619047619047616,0.14285714285714285,0.21428571428571427
Americas,MIBR,0.0,0.7462710367460084,0.4956140350877192,0.6088934937051285,0.4775641025641024,0.03638045972111281,0.34393021474194774,0.26699127741362905,0.1757888030337167,0.7209302325581395,0.72,0.13461538461538458,0.12658227848101272,0.9034482758620692,0.44972042990736827,0.0,0.0,0.0,0.0,0.6000000000000001
Pacific,GE,0.26262764189574184,0.8881011413346747,0.6842105263157894,0.8639856552882508,0.0,0.0,0.48014921617264383,0.0,0.19904495388978982,0.5913621262458473,0.0,0.8461538461538463,0.05063291139240511,0.5034482758620693,0.6510155502865504,0.3333333333333333,0.0,0.5555555555555556,0.0,0.0
Pacific,GEN,0.5396821936019616,0.6007882451218252,0.5631578947368423,0.5440473767908551,0.47307692307692295,0.4984369624324101,1.0,0.3243358242946163,0.5380195778921721,0.38604651162790704,0.76,0.4807692307692304,0.3924050632911393,0.5586206896551729,0.8586024520263302,0.2857142857142857,0.42857142857142855,0.0,0.0,0.21428571428571427
Pacific,TLN,0.8044936186929763,0.5896988404972854,0.2192982456140351,0.3887246352461091,0.27564102564102555,0.5212175958216775,0.6258958303781907,0.5755631636047905,0.8449206345277598,0.0,0.8,0.9038461538461537,0.13924050632911394,0.5931034482758624,0.8355899824788782,0.0,0.0,0.0,0.0,0.5
Pacific,RRQ,0.1619461968931687,0.3392282112580416,0.2192982456140351,0.21007597409761192,0.3653846153846154,0.4127290697809256,0.3987978380474563,0.5163140144101797,0.23478879993037927,0.4651162790697674,0.34,0.4423076923076925,0.17721518987341772,0.20000000000000018,0.9732459681641445,0.0,0.5,0.0,0.0,0.0
Pacific,TS,0.7318944344361158,0.8558430942630502,0.5933014354066988,0.6722641265908798,0.4510489510489508,0.6111774775457174,0.3335483061930098,0.3052987215642802,0.41153264857547023,0.536997885835095,0.36,0.5769230769230766,0.24050632911392406,0.7655172413793103,0.8875506960748496,0.0,0.0,0.0,0.0,0.6000000000000001
Pacific,BLD,0.8073205444971698,1.0,0.8947368421052633,1.0,0.6076923076923075,0.7677970613665058,0.1433125966753801,0.5755631636047905,0.3584556947513857,0.7906976744186047,0.34,0.11538461538461542,0.24050632911392406,0.8758620689655174,0.46543592225554775,0.0,0.0,0.0,0.0,0.0
Pacific,T1,0.9065255343823955,0.861833865856513,0.5789473684210524,0.6982034354047992,0.9999999999999998,0.440158203675717,0.7847831527220609,0.0,0.31566808013971404,0.43189368770764114,0.0,0.34615384615384626,0.08860759493670889,0.9793103448275859,0.5215919323726574,0.0,0.6666666666666666,0.0,0.0,0.0
Pacific,DRX,0.2480919709731384,0.6868345143693022,0.9561403508771931,0.5698751773425073,0.6346153846153846,0.3143463062783105,0.4118175537731844,0.5279601951863491,0.05871697222019612,0.6511627906976742,0.5,0.34615384615384626,0.0,0.8482758620689657,0.6978711720536939,0.0,0.0,0.0,0.3333333333333333,0.0
Pacific,ZETA,0.7346415546021077,0.6703449467528579,0.4258373205741628,0.680907037878685,0.08391608391608374,1.0,0.7516876685471697,0.3327900756387888,0.49250461590974814,0.13107822410148007,0.16,0.5576923076923075,0.3417721518987343,0.42758620689655213,0.593254019038223,1.0,0.2,0.0,0.0,0.6000000000000001
Pacific,PRX,0.31256544108675,0.5080534819623561,0.5263157894736843,0.37116955731791146,0.29059829059829045,0.28385245419960714,0.5408331661478523,0.367637203977929,0.30985566929696806,0.3565891472868219,0.0,0.6730769230769229,0.27848101265822783,0.544827586206897,0.27523285873508185,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
Pacific,DFM,0.2615598785215989,0.5085753151311263,0.7105263157894739,0.648487933090155,0.09615384615384603,0.6787341019051152,0.27798698747616446,1.0,0.10016402594484797,0.09302325581395343,0.0,0.6538461538461537,0.3544303797468355,0.04137931034482767,0.3038553448729193,0.0,1.0,0.0,0.5,0.0
