,Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Stage,Series
53,musashi,Killjoy,"0.76
0.76
0.75","148
143
154","11
6
5","

16
9
7

","2
1
1","-5
-3
-2","104
102
107","22%
26%
19%","0
0
0","2
1
1","-2
-1
-1",Acend,Lotus,3,Playoffs,Lower Final
54,MONSTEERR,Viper,"0.70
0.80
0.57","161
145
182","12
6
6","

17
10
7

","3
2
1","-5
-4
-1","111
99
125","27%
31%
24%","1
0
1","4
2
2","-3
-2
-1",Acend,Lotus,3,Playoffs,Lower Final
55,logaN,Killjoy,"1.36
1.41
1.31","284
259
306","22
9
13","

13
5
8

","5
3
2","+9
+4
+5","194
198
190","21%
18%
24%","3
0
3","2
0
2","+1
0
+1",Gentle Mates,Lotus,3,Playoffs,Lower Final
56,nataNk,Phoenix,"1.22
1.57
0.92","294
412
196","23
15
8","

15
7
8

","6
2
4","+8
+8
0","170
215
132","17%
13%
28%","3
2
1","1
0
1","+2
+2
0",Gentle Mates,Lotus,3,Playoffs,Lower Final
57,TakaS,Jett,"1.15
1.19
1.12","197
235
167","15
8
7","

12
7
5

","4
3
1","+3
+1
+2","141
161
124","26%
26%
25%","6
3
3","4
3
1","+2
0
+2",Gentle Mates,Lotus,3,Playoffs,Lower Final
58,Wailers,Omen,"1.09
1.07
1.11","165
125
199","14
6
8","

11
4
7

","6
1
5","+3
+2
+1","118
82
147","18%
16%
20%","1
1
0","1
1
0","0
0
0",Gentle Mates,Lotus,3,Playoffs,Lower Final
59,beyAz,Breach,"0.91
0.70
1.08","94
50
131","6
1
5","

11
6
5

","9
3
6","-5
-5
0","66
47
81","15%
10%
18%","1
0
1","0
0
0","+1
0
+1",Gentle Mates,Lotus,3,Playoffs,Lower Final
60,Wailers,Astra,"1.13
1.19
1.07","183
241
121","17
11
6","

11
7
4

","7
4
3","+6
+4
+2","114
141
84","26%
19%
42%","0
0
0","3
1
2","-3
-1
-2",Gentle Mates,Split,1,Playoffs,Lower Round 1
61,TakaS,Jett,"1.13
1.16
1.09","245
276
212","21
12
9","

16
10
6

","1
1
0","+5
+2
+3","155
179
128","16%
20%
12%","4
2
2","3
2
1","+1
0
+1",Gentle Mates,Split,1,Playoffs,Lower Round 1
62,beyAz,Skye,"1.08
1.04
1.13","176
160
194","17
9
8","

12
6
6

","4
2
2","+5
+3
+2","105
95
116","29%
28%
30%","1
0
1","2
2
0","-1
-2
+1",Gentle Mates,Split,1,Playoffs,Lower Round 1
63,logaN,Viper,"1.06
0.84
1.29","246
196
301","18
7
11","

16
9
7

","7
6
1","+2
-2
+4","168
148
189","20%
11%
31%","1
0
1","1
1
0","0
-1
+1",Gentle Mates,Split,1,Playoffs,Lower Round 1
