Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Stage,Series,winner,rounds,Id
marteen,Yoru,"0.98
0.78
1.18","210
167
255","16
6
10","

17
8
9

","6
5
1","-1
-2
+1","138
115
160","29%
23%
35%","3
0
3","3
2
1","0
-2
+2",Karmine Corp,Split,1,Group Stage,Opening (A),Karmine Corp,"0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1",2
sh1n,Astra,"0.96
1.07
0.84","128
129
128","12
7
5","

14
5
9

","7
1
6","-2
+2
-4","72
69
76","28%
24%
33%","4
2
2","1
1
0","+3
+1
+2",Karmine Corp,Split,1,Group Stage,Opening (A),Karmine Corp,"0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1",2
tomaszy,Omen,"0.85
1.02
0.68","182
181
185","14
7
7","

18
8
10

","8
3
5","-4
-1
-3","126
137
116","39%
35%
44%","1
0
1","1
0
1","0
0
0",Karmine Corp,Split,1,Group Stage,Opening (A),Karmine Corp,"0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1",2
hoody,Breach,"1.24
1.47
0.99","203
296
103","15
12
3","

12
8
4

","14
10
4","+3
+4
-1","124
162
83","20%
28%
11%","1
1
0","1
1
0","0
0
0",GIANTX,Sunset,2,Group Stage,Opening (A),Karmine Corp,"0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1",2
Redgar,Omen,"1.20
1.14
1.27","248
189
313","22
9
13","

15
7
8

","3
2
1","+7
+2
+5","172
136
212","31%
32%
31%","1
0
1","4
2
2","-3
-2
-1",GIANTX,Sunset,2,Group Stage,Opening (A),Karmine Corp,"0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1",2
Cloud,Fade,"1.16
0.95
1.40","254
200
315","22
9
13","

16
8
8

","12
6
6","+6
+1
+5","153
122
186","28%
29%
27%","4
2
2","3
3
0","+1
-1
+2",GIANTX,Sunset,2,Group Stage,Opening (A),Karmine Corp,"0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1",2
nukkye,Sage,"1.14
0.87
1.44","217
173
265","17
7
10","

15
8
7

","13
7
6","+2
-1
+3","140
106
177","33%
26%
40%","3
0
3","1
0
1","+2
0
+2",GIANTX,Sunset,2,Group Stage,Opening (A),Karmine Corp,"0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1",2
Fit1nho,Raze,"0.49
0.46
0.51","94
136
48","6
5
1","

18
11
7

","3
2
1","-12
-6
-6","65
93
35","16%
18%
13%","3
2
1","2
1
1","+1
+1
0",GIANTX,Sunset,2,Group Stage,Opening (A),Karmine Corp,"0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1",2
MAGNUM,Cypher,"1.12
1.11
1.12","221
244
201","18
10
8","

16
8
8

","4
0
4","+2
+2
0","152
144
160","25%
38%
16%","2
1
1","3
2
1","-1
-1
0",Karmine Corp,Sunset,2,Group Stage,Opening (A),Karmine Corp,"1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0",2
tomaszy,Viper,"1.10
0.85
1.33","228
183
270","19
7
12","

16
8
8

","7
4
3","+3
-1
+4","147
121
172","34%
30%
37%","3
0
3","1
1
0","+2
-1
+3",Karmine Corp,Sunset,2,Group Stage,Opening (A),Karmine Corp,"1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0",2
N4RRATE,Gekko,"1.03
1.30
0.79","214
231
199","15
8
7","

18
7
11

","7
5
2","-3
+1
-4","150
160
142","28%
30%
26%","2
2
0","2
0
2","0
+2
-2",Karmine Corp,Sunset,2,Group Stage,Opening (A),Karmine Corp,"1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0",2
marteen,Raze,"0.91
0.52
1.27","151
97
201","12
4
8","

15
8
7

","3
2
1","-3
-4
+1","102
57
143","17%
8%
21%","4
1
3","3
2
1","+1
-1
+2",Karmine Corp,Sunset,2,Group Stage,Opening (A),Karmine Corp,"1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0",2
sh1n,Omen,"0.81
0.74
0.88","155
148
163","12
5
7","

17
9
8

","7
2
5","-5
-4
-1","101
96
105","41%
27%
57%","0
0
0","3
2
1","-3
-2
-1",Karmine Corp,Sunset,2,Group Stage,Opening (A),Karmine Corp,"1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0",2
Cloud,Skye,"1.24
1.00
1.81","260
184
446","14
6
8","

12
10
2

","8
7
1","+2
-4
+6","172
128
278","24%
22%
26%","1
0
1","0
0
0","+1
0
+1",GIANTX,Lotus,3,Group Stage,Opening (A),Karmine Corp,"0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0",2
nukkye,Killjoy,"0.80
0.83
0.71","171
193
121","10
8
2","

13
11
2

","0
0
0","-3
-3
0","113
127
79","26%
23%
40%","2
2
0","1
0
1","+1
+2
-1",GIANTX,Lotus,3,Group Stage,Opening (A),Karmine Corp,"0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0",2
