Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Stage,Series,winner,rounds,Id
jakee,Astra,"0.77
0.72
0.81","147
160
137","9
4
5","

15
7
8

","8
2
6","-6
-3
-3","103
112
96","16%
19%
14%","0
0
0","0
0
0","0
0
0",Cloud9,Split,2,Group Stage,Opening (A),Cloud9,"0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0",2
jzz,Raze,"1.24
1.05
1.50","264
275
251","21
12
9","

14
10
4

","5
2
3","+7
+2
+5","185
175
199","31%
33%
28%","4
4
0","1
1
0","+3
+3
0",MIBR,Split,2,Group Stage,Opening (A),Cloud9,"1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1",2
RgLMeister,Astra,"1.12
1.10
1.15","185
185
186","15
8
7","

12
7
5

","7
4
3","+3
+1
+2","114
120
105","23%
21%
25%","0
0
0","0
0
0","0
0
0",MIBR,Split,2,Group Stage,Opening (A),Cloud9,"1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1",2
mazin,Skye,"1.08
1.05
1.12","173
217
116","14
10
4","

13
9
4

","3
2
1","+1
+1
0","118
136
95","40%
40%
40%","1
1
0","0
0
0","+1
+1
0",MIBR,Split,2,Group Stage,Opening (A),Cloud9,"1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1",2
artzin,Jett,"0.90
0.46
1.48","196
97
328","14
4
10","

16
9
7

","3
0
3","-2
-5
+3","121
62
200","14%
33%
8%","8
2
6","2
1
1","+6
+1
+5",MIBR,Split,2,Group Stage,Opening (A),Cloud9,"1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1",2
frz,Viper,"0.87
0.74
1.04","157
123
205","13
5
8","

13
8
5

","2
1
1","0
-3
+3","106
90
128","35%
31%
38%","2
1
1","3
2
1","-1
-1
0",MIBR,Split,2,Group Stage,Opening (A),Cloud9,"1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1",2
vanity,Gekko,"1.27
1.03
1.54","197
171
228","18
8
10","

12
7
5

","6
1
5","+6
+1
+5","133
112
155","28%
29%
27%","1
1
0","3
2
1","-2
-1
-1",Cloud9,Lotus,3,Group Stage,Opening (A),Cloud9,"0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1",2
Xeppaa,Fade,"1.11
1.15
1.06","215
176
258","18
8
10","

18
8
10

","10
4
6","0
0
0","131
125
137","21%
30%
15%","2
1
1","2
0
2","0
+1
-1",Cloud9,Lotus,3,Group Stage,Opening (A),Cloud9,"0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1",2
OXY,Raze,"1.02
0.42
1.67","301
215
396","24
7
17","

20
12
8

","2
1
1","+4
-5
+9","197
151
247","35%
24%
45%","6
4
2","5
2
3","+1
+2
-1",Cloud9,Lotus,3,Group Stage,Opening (A),Cloud9,"0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1",2
wippie,Killjoy,"1.02
0.91
1.13","156
171
140","11
6
5","

13
8
5

","7
4
3","-2
-2
0","123
127
119","16%
20%
13%","2
1
1","1
1
0","+1
0
+1",Cloud9,Lotus,3,Group Stage,Opening (A),Cloud9,"0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1",2
jakee,Omen,"0.85
0.66
1.06","122
115
131","8
4
4","

15
10
5

","14
5
9","-7
-6
-1","80
71
91","14%
15%
14%","0
0
0","1
0
1","-1
0
-1",Cloud9,Lotus,3,Group Stage,Opening (A),Cloud9,"0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1",2
